"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.159731970E-1,-1.136481285E0,2.396383047E0,1.570342183E-1,2.656859267E0
4.209486660E-1,-1.459487915E0,2.478261471E0,-3.443697691E-1,2.896631739E0
4.259241350E-1,-1.334719658E0,2.378627539E0,-9.265675545E-1,2.880602882E0
4.308996040E-1,-8.910641670E-1,2.119215488E0,-1.333776951E0,2.657824409E0
4.358750720E-1,-4.680480957E-1,1.886146545E0,-1.587896943E0,2.509588515E0
4.408505410E-1,-8.885002136E-2,1.640947700E0,-1.672712684E0,2.344903282E0
4.458260100E-1,3.843507767E-1,1.269789100E0,-1.610037446E0,2.086219177E0
4.508014790E-1,8.513336182E-1,9.152424335E-1,-1.369502783E0,1.854177854E0
4.557769470E-1,1.208434105E0,7.131487131E-1,-9.635858536E-1,1.702172662E0
4.607524160E-1,1.353190422E0,5.946264267E-1,-4.656319022E-1,1.549683185E0
4.657278850E-1,1.382903099E0,4.682610035E-1,1.422655582E-1,1.466945411E0
4.707033540E-1,1.426719666E0,3.527185917E-1,8.168895245E-1,1.681442210E0
4.756788220E-1,1.479766846E0,3.137606382E-1,1.487640858E0,2.121610468E0
4.806542910E-1,1.480452538E0,2.744166851E-1,2.066048622E0,2.556482181E0
4.856297600E-1,1.330016136E0,1.302210093E-1,2.407925367E0,2.753907226E0
4.906052290E-1,1.186308861E0,-1.831930876E-2,2.370321274E0,2.650676753E0
4.955806970E-1,1.096500397E0,-1.095527411E-1,1.991121650E0,2.275715348E0
5.005561660E-1,1.116718292E0,-1.958560348E-1,1.439392805E0,1.832285725E0
5.055316350E-1,1.236242294E0,-3.905126750E-1,8.391695023E-1,1.544344720E0
5.105071040E-1,1.382976532E0,-6.304640770E-1,3.461392522E-1,1.558820523E0
5.154825720E-1,1.599295616E0,-8.724708557E-1,-4.653161764E-2,1.822393221E0
5.204580410E-1,1.756634712E0,-1.192300320E0,-3.122793436E-1,2.145894674E0
5.254335100E-1,1.727803230E0,-1.508838058E0,-3.725714982E-1,2.323941868E0
5.304089790E-1,1.505323410E0,-1.566594601E0,-2.630583644E-1,2.188473650E0
5.353844470E-1,1.176453590E0,-1.282947659E0,-1.940234154E-1,1.751468765E0
5.403599160E-1,8.559103012E-1,-9.074479342E-1,-2.360389233E-1,1.269550539E0
5.453353850E-1,5.766658783E-1,-6.490311027E-1,-4.779757261E-1,9.910830955E-1
5.503108540E-1,5.040855408E-1,-5.865937471E-1,-8.325607777E-1,1.136376656E0
5.552863220E-1,6.881828308E-1,-6.990125179E-1,-9.713698626E-1,1.380497562E0
5.602617910E-1,9.131193161E-1,-7.810817957E-1,-8.389624953E-1,1.465514833E0
5.652372600E-1,9.936332703E-1,-7.954784632E-1,-6.456412673E-1,1.427216069E0
5.702127290E-1,1.068637848E0,-1.017776251E0,-6.141619682E-1,1.598452461E0
5.751881970E-1,1.413232803E0,-1.526533127E0,-6.101756096E-1,2.167912502E0
5.801636660E-1,1.939594269E0,-2.082522392E0,-4.253514409E-1,2.877472726E0
5.851391350E-1,2.418540955E0,-2.311946630E0,-1.141976565E-1,3.347757261E0
5.901146040E-1,2.523399353E0,-2.233259916E0,2.647464275E-1,3.380101303E0
5.950900720E-1,2.257715225E0,-2.001834393E0,5.161947608E-1,3.061221326E0
6.000655410E-1,1.862050056E0,-1.623725653E0,5.654548407E-1,2.534453508E0
6.050410100E-1,1.498795509E0,-1.156624913E0,5.281715393E-1,1.965485778E0
6.100164790E-1,1.233985901E0,-6.624054313E-1,4.621776342E-1,1.474825523E0
6.149919470E-1,9.385280609E-1,-1.502139270E-1,4.012652040E-1,1.031703886E0
6.199674160E-1,4.702291489E-1,3.188263774E-1,3.174642324E-1,6.508066151E-1
6.249428850E-1,-1.289081573E-2,6.937060356E-1,5.956853926E-2,6.963782362E-1
6.299183540E-1,-3.447122574E-1,9.524601698E-1,-4.514711499E-1,1.108978410E0
6.348938220E-1,-4.269790649E-1,9.499623775E-1,-9.621711969E-1,1.417925616E0
6.398692910E-1,-1.954135895E-1,6.224294305E-1,-1.235795617E0,1.397424658E0
6.448447600E-1,2.429256439E-1,4.420921206E-1,-1.445602655E0,1.531086330E0
6.498202290E-1,2.454509735E-1,6.444380879E-1,-1.797163129E0,1.924926477E0
6.547957500E-1,3.424644470E-2,4.665005207E-1,-1.795778513E0,1.855698257E0
6.597712700E-1,-1.230306625E-1,4.429233074E-2,-1.586164474E0,1.591545191E0
6.647467910E-1,5.855560303E-3,-1.646144986E-1,-1.330778003E0,1.340933374E0
6.697223120E-1,2.286348343E-1,-1.529126763E-1,-1.019834280E0,1.056275595E0
6.746978330E-1,2.833766937E-1,-1.554901004E-1,-7.057382464E-1,7.762383618E-1
6.796733540E-1,2.806901932E-1,-3.669825792E-1,-4.928846657E-1,6.755727139E-1
6.846488750E-1,3.777923584E-1,-6.147962213E-1,-3.233499825E-1,7.907317313E-1
6.896243950E-1,5.074071884E-1,-7.847633362E-1,-2.203361988E-1,9.601372762E-1
6.945999160E-1,5.030355453E-1,-9.157583117E-1,-2.070542127E-1,1.065142945E0
6.995754370E-1,3.039665222E-1,-9.510979652E-1,-2.687155008E-1,1.034016928E0
7.045509580E-1,1.254653931E-1,-9.242455363E-1,-5.856948495E-1,1.101367256E0
7.095264790E-1,1.716337204E-1,-1.081983328E0,-1.156628132E0,1.593089668E0
7.145020000E-1,4.977693558E-1,-1.474729776E0,-1.738244534E0,2.333258730E0
7.194775200E-1,9.782466888E-1,-1.815654755E0,-2.207852602E0,3.021288117E0
7.244530410E-1,1.345852852E0,-1.953686714E0,-2.585933447E0,3.509310968E0
7.294285620E-1,1.411386490E0,-2.100009918E0,-2.963789225E0,3.896934699E0
7.344040830E-1,1.405233383E0,-2.383183718E0,-3.298703671E0,4.305309675E0
7.393796040E-1,1.465765953E0,-2.636163473E0,-3.448046923E0,4.581141263E0
7.443551250E-1,1.464173317E0,-2.664701223E0,-3.326896906E0,4.506958967E0
7.493306450E-1,1.315353394E0,-2.575316191E0,-2.993343830E0,4.162032594E0
7.543061660E-1,1.077404022E0,-2.516244650E0,-2.661965370E0,3.818160054E0
7.592816870E-1,8.460187912E-1,-2.601102352E0,-2.508030415E0,3.711023821E0
7.642572080E-1,7.209644318E-1,-2.738226652E0,-2.401762962E0,3.712969194E0
7.692327290E-1,7.632722855E-1,-2.831703424E0,-2.157753229E0,3.641020168E0
7.742082500E-1,9.574928284E-1,-2.886254549E0,-1.782249928E0,3.524723059E0
7.791837700E-1,1.164686203E0,-2.983130217E0,-1.357341766E0,3.478208808E0
7.841592910E-1,1.261144638E0,-3.193502665E0,-1.187736154E0,3.633133942E0
7.891348120E-1,1.437852859E0,-3.431240320E0,-1.362338781E0,3.961918467E0
7.941103330E-1,1.594394684E0,-3.558601141E0,-1.779565930E0,4.286326095E0
7.990858540E-1,1.711860657E0,-3.624217272E0,-2.181898832E0,4.563562233E0
