"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.041690730E-1,-8.455529809E-2,-1.331579536E-1,-1.857553422E-1,2.436917853E-1
2.066568330E-1,-6.857634336E-2,-1.203747913E-1,-1.782985032E-1,2.257945116E-1
2.091446460E-1,-5.472791940E-2,-1.075916290E-1,-1.687111259E-1,2.074476989E-1
2.116325100E-1,-4.087949172E-2,-9.587372839E-2,-1.623195410E-1,1.929003318E-1
2.141203750E-1,-2.809632942E-2,-8.522108942E-2,-1.548627019E-1,1.789818266E-1
2.166082390E-1,-1.637842879E-2,-7.669898123E-2,-1.474058628E-1,1.669714797E-1
2.190961040E-1,-6.791055668E-3,-6.817687303E-2,-1.410142779E-1,1.567776484E-1
2.215839680E-1,1.731053460E-3,-6.178529188E-2,-1.335574239E-1,1.471665870E-1
2.240717290E-1,1.025316212E-2,-5.752423778E-2,-1.261005849E-1,1.389802963E-1
2.265592810E-1,1.557948068E-2,-5.326318368E-2,-1.197090000E-1,1.319467000E-1
2.290468330E-1,1.984053478E-2,-5.113265663E-2,-1.122521535E-1,1.249349485E-1
2.315343850E-1,2.303632535E-2,-5.006739125E-2,-1.058605760E-1,1.193477168E-1
2.340219370E-1,2.516685426E-2,-5.006739125E-2,-9.946899116E-2,1.141673965E-1
2.365094890E-1,2.516685426E-2,-5.113265663E-2,-9.201214463E-2,1.082319449E-1
2.389970410E-1,2.410159074E-2,-5.219791830E-2,-8.562056720E-2,1.031328797E-1
2.414845930E-1,2.197106183E-2,-5.219791830E-2,-7.922898233E-2,9.738881801E-2
2.439721460E-1,1.984053478E-2,-5.326318368E-2,-7.177213579E-2,9.155246055E-2
2.464596980E-1,1.664474420E-2,-5.326318368E-2,-6.538055837E-2,8.595715013E-2
2.489472500E-1,1.238369010E-2,-5.219791830E-2,-5.792371184E-2,7.895020486E-2
2.514348020E-1,8.122635074E-3,-5.113265663E-2,-5.046686530E-2,7.230097004E-2
2.539223540E-1,2.796316985E-3,-5.006739125E-2,-4.407528415E-2,6.676221782E-2
2.564099060E-1,-2.530001104E-3,-4.900212586E-2,-3.768370301E-2,6.186817208E-2
2.588974580E-1,-7.856319658E-3,-4.687159881E-2,-3.022685647E-2,5.632345325E-2
2.613850100E-1,-1.318263728E-2,-4.367581010E-2,-2.170474641E-2,5.052182034E-2
2.638725620E-1,-1.744369231E-2,-4.261054471E-2,-1.424790081E-2,4.819692521E-2
2.663601140E-1,-2.277000993E-2,-4.048001766E-2,-6.791055668E-3,4.693850892E-2
2.688476660E-1,-2.809632942E-2,-3.941475600E-2,6.657897611E-4,4.840836698E-2
2.713352180E-1,-3.342264518E-2,-3.728422895E-2,8.122635074E-3,5.072636533E-2
2.738227710E-1,-3.768370301E-2,-3.621896356E-2,1.557948068E-2,5.453984793E-2
2.763103230E-1,-4.301001877E-2,-3.515370190E-2,2.197106183E-2,5.973585213E-2
2.787978750E-1,-4.727107286E-2,-3.515370190E-2,2.729738131E-2,6.492675961E-2
2.812854270E-1,-5.153212696E-2,-3.728422895E-2,3.262370080E-2,7.148412195E-2
2.837729790E-1,-5.579318479E-2,-3.941475600E-2,3.688475490E-2,7.763303165E-2
2.862605310E-1,-5.898897350E-2,-4.261054471E-2,4.221107066E-2,8.412569168E-2
2.887480830E-1,-6.325002760E-2,-4.687159881E-2,4.647212476E-2,9.141756475E-2
2.912356350E-1,-6.644582003E-2,-5.219791830E-2,5.073318258E-2,9.855721937E-2
2.937231870E-1,-6.964161247E-2,-5.752423778E-2,5.392897129E-2,1.052013596E-1
2.962107390E-1,-7.390266657E-2,-6.285055727E-2,5.712476373E-2,1.125834593E-1
2.986982910E-1,-7.603318989E-2,-6.817687303E-2,5.819002539E-2,1.175381259E-1
3.011858430E-1,-7.922898233E-2,-7.243792713E-2,5.925529078E-2,1.226200408E-1
3.036733960E-1,-8.135951310E-2,-7.669898123E-2,5.925529078E-2,1.265436430E-1
3.061609480E-1,-8.455529809E-2,-8.096003532E-2,5.925529078E-2,1.312071463E-1
3.086485000E-1,-8.775109053E-2,-8.415582776E-2,5.712476373E-2,1.343342691E-1
3.111360520E-1,-9.094688296E-2,-8.628635854E-2,5.605949834E-2,1.373293069E-1
3.136236040E-1,-9.307741374E-2,-8.628635854E-2,5.499423668E-2,1.383224735E-1
3.161111560E-1,-9.414267540E-2,-8.735162020E-2,5.286370963E-2,1.388802386E-1
3.185987080E-1,-9.520793706E-2,-8.841688186E-2,5.179844424E-2,1.398755701E-1
3.210862600E-1,-9.520793706E-2,-8.735162020E-2,4.966791719E-2,1.384260049E-1
3.235738120E-1,-9.414267540E-2,-8.628635854E-2,4.860265180E-2,1.366396603E-1
3.260613640E-1,-9.201214463E-2,-8.415582776E-2,4.753739014E-2,1.334475236E-1
3.285489160E-1,-8.775109053E-2,-8.096003532E-2,4.647212476E-2,1.281188495E-1
3.310364680E-1,-8.242477477E-2,-7.669898123E-2,4.540686309E-2,1.214016492E-1
3.335240210E-1,-7.709845901E-2,-7.243792713E-2,4.647212476E-2,1.155468911E-1
3.360115730E-1,-6.857634336E-2,-6.604634225E-2,4.647212476E-2,1.059457058E-1
3.384991250E-1,-5.898897350E-2,-5.965476483E-2,4.753739014E-2,9.642714049E-2
3.409866770E-1,-4.833633825E-2,-5.219791830E-2,4.860265180E-2,8.615823833E-2
3.434742290E-1,-3.555317223E-2,-4.474107176E-2,5.073318258E-2,7.641758549E-2
3.459617810E-1,-2.170474641E-2,-3.515370190E-2,5.286370963E-2,6.709285036E-2
3.484493330E-1,-6.791055668E-3,-2.556632832E-2,5.392897129E-2,6.006737488E-2
3.509368850E-1,9.187898599E-3,-1.491369121E-2,5.605949834E-2,5.873246990E-2
3.534244370E-1,2.623211779E-2,-4.261054564E-3,5.925529078E-2,6.494205167E-2
3.559119890E-1,4.540686309E-2,7.456845604E-3,6.245107949E-2,7.757270842E-2
3.583995410E-1,6.671213359E-2,2.024000883E-2,6.564687192E-2,9.575843837E-2
3.608870930E-1,8.801741153E-2,3.408843651E-2,7.097318769E-2,1.180943674E-1
3.633746460E-1,1.103879437E-1,4.900212586E-2,7.523424178E-2,1.422915935E-1
3.658621980E-1,1.348890066E-1,6.498108059E-2,8.056056499E-2,1.700223208E-1
3.683497500E-1,1.583248079E-1,8.202529699E-2,8.695214242E-2,1.983823813E-1
3.708373020E-1,1.838911325E-1,1.012000442E-1,9.334372729E-2,2.297181947E-1
3.733248540E-1,2.115879953E-1,1.214400530E-1,9.973530471E-2,2.635608037E-1
3.758124060E-1,2.403501123E-1,1.427453309E-1,1.061268896E-1,2.990105729E-1
3.782999580E-1,2.701774836E-1,1.651158631E-1,1.125184745E-1,3.360350100E-1
3.807875100E-1,3.010701239E-1,1.885516644E-1,1.178447902E-1,3.742757596E-1
3.832750620E-1,3.319627941E-1,2.119874656E-1,1.221058443E-1,4.123685481E-1
3.857626140E-1,3.639206886E-1,2.364885211E-1,1.253016293E-1,4.517361913E-1
3.882501660E-1,3.958786130E-1,2.609896064E-1,1.274321675E-1,4.909932873E-1
3.907377180E-1,4.257059693E-1,2.854906619E-1,1.274321675E-1,5.281755841E-1
3.932252710E-1,4.576638937E-1,3.078611791E-1,1.253016293E-1,5.656281849E-1
3.957128230E-1,4.885565341E-1,3.323622644E-1,1.221058443E-1,6.033755041E-1
3.982003750E-1,5.183839202E-1,3.536675274E-1,1.167795286E-1,6.383103218E-1
4.006879270E-1,5.471460223E-1,3.749727905E-1,1.103879437E-1,6.724275883E-1
4.031754790E-1,5.737776160E-1,3.952127993E-1,1.018658355E-1,7.041239648E-1
4.056630310E-1,5.982787013E-1,4.143875539E-1,9.014793485E-2,7.333355981E-1
4.081505830E-1,6.217144728E-1,4.324970245E-1,7.949529588E-2,7.615130097E-1
4.106381350E-1,6.430197358E-1,4.495412707E-1,6.671213359E-2,7.874085620E-1
4.131256870E-1,6.611292362E-1,4.644549489E-1,5.286370963E-2,8.096942870E-1
4.156132390E-1,6.771082282E-1,4.783033729E-1,4.008054361E-2,8.299735653E-1
4.181016770E-1,6.909566522E-1,4.889560044E-1,2.516685426E-2,8.468367257E-1
4.205885520E-1,7.037398219E-1,4.985433817E-1,1.131842658E-2,8.625099113E-1
4.230754270E-1,7.143924236E-1,5.081307292E-1,-1.464737463E-3,8.766729826E-1
4.255623540E-1,7.261103392E-1,5.177181363E-1,-1.424790081E-2,8.918919755E-1
4.280493330E-1,7.367629409E-1,5.273054838E-1,-2.596580051E-2,9.063911557E-1
4.305363640E-1,7.484808564E-1,5.368928909E-1,-3.555317223E-2,9.218142963E-1
4.330235000E-1,7.612640262E-1,5.496760607E-1,-4.407528415E-2,9.400049574E-1
4.355107390E-1,7.751124501E-1,5.624592304E-1,-5.153212696E-2,9.590699955E-1
4.379980830E-1,7.910913825E-1,5.773729086E-1,-5.898897350E-2,9.811548043E-1
4.404855310E-1,8.092008829E-1,5.922865868E-1,-6.644582003E-2,1.004999760E0
4.429730830E-1,8.283756375E-1,6.072002649E-1,-7.283740491E-2,1.029661909E0
4.454607390E-1,8.486156464E-1,6.231792569E-1,-7.816372067E-2,1.055751140E0
4.479485000E-1,8.709861636E-1,6.370276809E-1,-8.242477477E-2,1.082226874E0
4.504363640E-1,8.922914863E-1,6.498108506E-1,-8.562056720E-2,1.107144579E0
4.529242810E-1,9.146620035E-1,6.593981981E-1,-8.881635964E-2,1.131061851E0
4.554122500E-1,9.370325208E-1,6.668550372E-1,-8.988162130E-2,1.153604911E0
4.579002710E-1,9.604683518E-1,6.711161137E-1,-8.881635964E-2,1.175067929E0
4.603882910E-1,9.817736149E-1,6.711161137E-1,-8.881635964E-2,1.192545435E0
4.628763120E-1,1.003078818E0,6.689855456E-1,-8.881635964E-2,1.208965310E0
4.653643330E-1,1.022253633E0,6.636592746E-1,-8.775109053E-2,1.221943688E0
4.678520930E-1,1.040363073E0,6.572676897E-1,-8.775109053E-2,1.233716497E0
4.703396460E-1,1.057407379E0,6.487455368E-1,-8.881635964E-2,1.243732078E0
4.728271980E-1,1.072321057E0,6.380929351E-1,-8.988162130E-2,1.251045063E0
4.753147500E-1,1.084038854E0,6.285055280E-1,-9.307741374E-2,1.256512173E0
4.778023020E-1,1.092561007E0,6.167876720E-1,-9.733846784E-2,1.258408266E0
4.802898540E-1,1.097887397E0,6.050697565E-1,-1.026647836E-1,1.257778281E0
4.827774060E-1,1.101083159E0,5.933518410E-1,-1.090563685E-1,1.255525317E0
4.852649580E-1,1.098952651E0,5.805686712E-1,-1.165132076E-1,1.248331782E0
4.877525100E-1,1.093626261E0,5.677855015E-1,-1.250353158E-1,1.238560699E0
4.902400620E-1,1.082973599E0,5.539370775E-1,-1.335574239E-1,1.223730235E0
4.927276140E-1,1.070190430E0,5.379581451E-1,-1.399490088E-1,1.205940399E0
4.952151660E-1,1.052080989E0,5.209138989E-1,-1.463405937E-1,1.183064354E0
4.977027180E-1,1.030775785E0,5.017392039E-1,-1.516669095E-1,1.156392580E0
5.001902710E-1,1.006274700E0,4.814991653E-1,-1.559279710E-1,1.126385258E0
5.026778230E-1,9.764472842E-1,4.580633640E-1,-1.580584943E-1,1.090070563E0
5.051653750E-1,9.444893599E-1,4.346275628E-1,-1.601890177E-1,1.051960926E0
5.076529270E-1,9.072051644E-1,4.079959691E-1,-1.601890177E-1,1.007542775E0
5.101404790E-1,8.677904010E-1,3.792338669E-1,-1.591237634E-1,9.603118649E-1
5.126280310E-1,8.230493069E-1,3.494064808E-1,-1.559279710E-1,9.076390155E-1
5.151155830E-1,7.772429585E-1,3.174485564E-1,-1.516669095E-1,8.531606261E-1
5.176031350E-1,7.261103392E-1,2.844253778E-1,-1.463405937E-1,7.934416107E-1
5.200906870E-1,6.728471518E-1,2.492716908E-1,-1.388837546E-1,7.308545428E-1
5.225782390E-1,6.163882017E-1,2.151832581E-1,-1.324921697E-1,6.661774725E-1
5.250657910E-1,5.577986836E-1,1.810948253E-1,-1.239700541E-1,5.994191201E-1
5.275533430E-1,4.960133731E-1,1.448758543E-1,-1.143826842E-1,5.292463301E-1
5.300408960E-1,4.320975542E-1,1.086568907E-1,-1.047953144E-1,4.577080665E-1
5.325284480E-1,3.681817353E-1,7.137266546E-2,-9.414267540E-2,3.866712957E-1
5.350160000E-1,3.032006621E-1,3.408843651E-2,-8.242477477E-2,3.160482661E-1
5.375035520E-1,2.371543199E-1,-3.195791040E-3,-7.070687413E-2,2.474911040E-1
