"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.605800200E-1,-3.549804688E-1,7.729582787E-1,5.764346123E-1,1.027498173E0
3.655552810E-1,-2.383904457E-1,7.076377869E-1,3.896622658E-1,8.422695076E-1
3.705305410E-1,-6.166982651E-2,6.642460823E-1,1.406087875E-1,6.817601165E-1
3.755058020E-1,1.134500504E-1,6.323351860E-1,-1.464958191E-1,6.589231567E-1
3.804810620E-1,2.256927490E-1,6.301112175E-1,-4.339189529E-1,7.976609688E-1
3.854563220E-1,2.755441666E-1,6.664505005E-1,-6.279840469E-1,9.562660825E-1
3.904315830E-1,2.868757248E-1,7.647032738E-1,-6.550250053E-1,1.046960618E0
3.954068430E-1,2.217202187E-1,8.821339607E-1,-5.035271645E-1,1.039644067E0
4.003821040E-1,2.081432343E-1,1.052358150E0,-2.987418175E-1,1.113565425E0
4.053573640E-1,1.697044373E-1,1.157251358E0,-9.303569794E-2,1.173322608E0
4.103326250E-1,9.241294861E-2,1.170048714E0,6.666231155E-2,1.175584114E0
4.153078850E-1,6.656074524E-2,1.196533680E0,1.576294899E-1,1.208706017E0
4.202831450E-1,1.198735237E-1,1.246435165E0,1.335816383E-1,1.259291204E0
4.252584060E-1,2.088198662E-1,1.248786449E0,2.421951294E-2,1.266356947E0
4.302336660E-1,3.047647476E-1,1.166060925E0,-2.075886726E-1,1.222976978E0
4.352089270E-1,4.364037514E-1,1.031642675E0,-5.418624878E-1,1.244327047E0
4.401841870E-1,5.519022942E-1,8.543951511E-1,-8.973407745E-1,1.356395106E0
4.451594470E-1,6.474404335E-1,6.854269505E-1,-1.188913822E0,1.517400836E0
4.501347080E-1,7.856225967E-1,5.609297752E-1,-1.459961891E0,1.750238213E0
4.551099680E-1,9.574341774E-1,4.030077457E-1,-1.743648052E0,2.029631488E0
4.600852290E-1,1.078247547E0,1.581707001E-1,-2.030057430E0,2.304076586E0
4.650604890E-1,1.149463177E0,-1.222686768E-1,-2.238326550E0,2.519190538E0
4.700357500E-1,1.162908554E0,-3.732309341E-1,-2.255173206E0,2.564656668E0
4.750110100E-1,1.152817726E0,-5.628592968E-1,-2.082075119E0,2.445574799E0
4.799862700E-1,1.129034042E0,-7.065558434E-1,-1.796411991E0,2.236299414E0
4.849615310E-1,1.091436386E0,-8.142201900E-1,-1.465491772E0,2.000463455E0
4.899367910E-1,9.638080597E-1,-9.094158411E-1,-1.127748489E0,1.740051667E0
4.949120520E-1,7.463750839E-1,-1.010464549E0,-7.550377846E-1,1.465672688E0
4.998873120E-1,4.439029694E-1,-1.087784767E0,-3.386421204E-1,1.222703575E0
5.048625720E-1,1.275386810E-1,-1.107339621E0,9.225654602E-2,1.118471466E0
5.098378330E-1,-1.843414307E-1,-1.101651073E0,4.757313728E-1,1.214058148E0
5.148130930E-1,-5.208454132E-1,-1.060465217E0,7.836141586E-1,1.417715617E0
5.197883540E-1,-8.726906776E-1,-1.011656165E0,1.078259945E0,1.716881395E0
5.247636140E-1,-1.197264194E0,-9.877861738E-1,1.317335844E0,2.035813548E0
5.297388750E-1,-1.494886398E0,-1.002393603E0,1.515909195E0,2.353180607E0
5.347141350E-1,-1.727847099E0,-1.045378685E0,1.679435015E0,2.626551763E0
5.396893950E-1,-1.977300167E0,-1.097406030E0,1.827522755E0,2.907551438E0
5.446646560E-1,-2.167160511E0,-1.120422959E0,1.955777645E0,3.126819228E0
5.496399160E-1,-2.288487434E0,-1.171745539E0,2.050209284E0,3.288391773E0
5.546152290E-1,-2.360833168E0,-1.227532744E0,2.182391644E0,3.441395527E0
5.595905410E-1,-2.436874390E0,-1.316289425E0,2.375636816E0,3.648921063E0
5.645658540E-1,-2.507041931E0,-1.390386939E0,2.596262455E0,3.867688434E0
5.695411660E-1,-2.585646629E0,-1.440375566E0,2.858318090E0,4.114636384E0
5.745164790E-1,-2.611032486E0,-1.466309547E0,3.080707073E0,4.296313583E0
5.794917910E-1,-2.602778435E0,-1.496748567E0,3.258906126E0,4.431160231E0
5.844671040E-1,-2.566085815E0,-1.469742894E0,3.445318222E0,4.540391860E0
5.894424160E-1,-2.529679298E0,-1.437798023E0,3.644705534E0,4.663734441E0
5.944177290E-1,-2.502900124E0,-1.400846124E0,3.795578003E0,4.757445876E0
5.993930410E-1,-2.490158081E0,-1.354095340E0,3.875149727E0,4.801171405E0
6.043683540E-1,-2.405586243E0,-1.311913371E0,3.898842096E0,4.765388920E0
6.093436660E-1,-2.240109444E0,-1.264932632E0,3.838938951E0,4.621211655E0
6.143189790E-1,-2.032282352E0,-1.218143344E0,3.701000690E0,4.394479591E0
6.192942910E-1,-1.810886860E0,-1.186181307E0,3.528331757E0,4.139500247E0
6.242696040E-1,-1.575964928E0,-1.178765535E0,3.321179628E0,3.860490612E0
6.292449160E-1,-1.398818016E0,-1.162875772E0,3.093958855E0,3.589088087E0
6.342202290E-1,-1.297867775E0,-1.143835068E0,2.846839905E0,3.331263554E0
6.391955410E-1,-1.234453678E0,-1.093597531E0,2.556182861E0,3.042022726E0
6.441708540E-1,-1.222549915E0,-1.003237247E0,2.250687599E0,2.750764973E0
6.491461660E-1,-1.252269745E0,-9.112817049E-1,1.977890015E0,2.512103256E0
6.541214790E-1,-1.271051407E0,-8.605313301E-1,1.723264933E0,2.307753860E0
6.590967910E-1,-1.222031116E0,-7.936950922E-1,1.510312557E0,2.098655753E0
6.640721040E-1,-1.205643177E0,-6.822813749E-1,1.328976870E0,1.919703848E0
6.690474160E-1,-1.217019081E0,-5.264183283E-1,1.250083923E0,1.822350547E0
6.740227290E-1,-1.213232040E0,-3.546620607E-1,1.268111467E0,1.790481459E0
6.789980410E-1,-1.184953213E0,-2.141549587E-1,1.249324799E0,1.735162504E0
6.839733540E-1,-1.146680355E0,-1.137642860E-1,1.184515476E0,1.652542000E0
6.889486660E-1,-1.089156628E0,-2.894771099E-2,1.088044167E0,1.539785777E0
6.939239790E-1,-1.065084934E0,9.314060211E-2,9.501502514E-1,1.430337928E0
6.988992910E-1,-1.112560749E0,2.004787922E-1,8.086261749E-1,1.389913471E0
7.038746040E-1,-1.174342155E0,3.030440807E-1,6.533937454E-1,1.377620630E0
7.088499160E-1,-1.274387360E0,4.156308174E-1,4.935657978E-1,1.428432468E0
7.138252290E-1,-1.341343880E0,5.290526152E-1,3.430538177E-1,1.482155861E0
7.188004890E-1,-1.366006851E0,6.198248863E-1,2.112324238E-1,1.514852054E0
7.237757500E-1,-1.334358215E0,6.501750946E-1,1.028435230E-1,1.487889879E0
7.287510100E-1,-1.260870934E0,6.299909353E-1,2.282738686E-2,1.409682652E0
7.337262700E-1,-1.150370598E0,5.974800587E-1,-1.438236237E-2,1.296357121E0
7.387015310E-1,-9.601273537E-1,5.049282312E-1,-1.831293106E-2,1.084957334E0
7.436767910E-1,-7.476019859E-1,4.046266079E-1,2.996516228E-2,8.506052740E-1
7.486520520E-1,-5.366353989E-1,3.343647718E-1,1.396448612E-1,6.475168254E-1
7.536273120E-1,-3.557205200E-1,2.982929945E-1,2.911920547E-1,5.480042077E-1
7.586025720E-1,-2.331743240E-1,2.674820423E-1,4.367229939E-1,5.627111885E-1
7.635778330E-1,-1.589727402E-1,2.178267837E-1,5.669298172E-1,6.277979432E-1
7.685530930E-1,-1.659631729E-1,2.109994292E-1,6.725955009E-1,7.241886783E-1
7.735283540E-1,-2.391986847E-1,2.560748458E-1,7.636754513E-1,8.402324275E-1
7.785036140E-1,-3.257846832E-1,3.335629106E-1,8.167779446E-1,9.404924699E-1
7.834788750E-1,-4.350242615E-1,4.195148349E-1,8.229520321E-1,1.021023434E0
7.884541350E-1,-5.381898880E-1,4.901619554E-1,8.064203262E-1,1.086379694E0
7.934293950E-1,-6.258425713E-1,5.218240023E-1,7.720379829E-1,1.122506953E0
7.984046560E-1,-7.124295235E-1,5.386867523E-1,7.245612144E-1,1.150099212E0
8.033799160E-1,-8.314118385E-1,5.884636641E-1,6.590209007E-1,1.213195647E0
8.083551770E-1,-9.827170372E-1,6.329862475E-1,5.895557404E-1,1.309190718E0
8.133304370E-1,-1.109154701E0,6.535711288E-1,5.588579178E-1,1.403460560E0
8.183056970E-1,-1.163356781E0,6.030142307E-1,5.142655373E-1,1.407655571E0
8.232809580E-1,-1.160139084E0,5.200302601E-1,4.414279461E-1,1.345813062E0
8.282562180E-1,-1.104662895E0,4.476786852E-1,3.927459717E-1,1.254968412E0
8.332314790E-1,-1.025832653E0,3.669124842E-1,3.679909706E-1,1.149945545E0
8.382067390E-1,-9.427475929E-1,2.777518630E-1,3.338387012E-1,1.037963101E0
8.431820000E-1,-8.744349480E-1,1.422042847E-1,2.713584900E-1,9.265494951E-1
8.481572600E-1,-8.016848564E-1,-6.271481514E-3,1.618027687E-1,8.178741202E-1
8.531325200E-1,-7.054581642E-1,-1.202037036E-1,5.780029297E-2,7.179561447E-1
8.581077810E-1,-6.048712730E-1,-1.713726521E-1,-4.536938667E-2,6.303143851E-1
8.630830410E-1,-5.522341728E-1,-2.079196870E-1,-1.666393280E-1,6.131572747E-1
8.680583020E-1,-5.185933113E-1,-2.491586059E-1,-3.199954033E-1,6.583434450E-1
8.730335620E-1,-5.037059784E-1,-3.000504375E-1,-5.240635872E-1,7.863794384E-1
8.780088220E-1,-4.694032669E-1,-3.367336988E-1,-7.548141479E-1,9.505121824E-1
8.829840830E-1,-4.063682556E-1,-3.642396033E-1,-9.742448330E-1,1.116673024E0
8.879593430E-1,-3.054409027E-1,-3.779665232E-1,-1.201905012E0,1.296429133E0
8.929346040E-1,-2.194070816E-1,-3.877044022E-1,-1.357253551E0,1.428492693E0
8.979098640E-1,-1.530609131E-1,-4.080767632E-1,-1.445729017E0,1.509995589E0
9.028851250E-1,-1.062726974E-1,-4.344746172E-1,-1.472434282E0,1.538871273E0
9.078603850E-1,-8.833599091E-2,-4.575987160E-1,-1.470791101E0,1.542863019E0
9.128356450E-1,-6.085872650E-2,-4.585521221E-1,-1.464465141E0,1.535783834E0
9.178109060E-1,-3.801822662E-2,-4.851660132E-1,-1.424561501E0,1.505392612E0
9.227861660E-1,-3.878211975E-2,-5.276544690E-1,-1.360650539E0,1.459894922E0
9.277614270E-1,-3.923797607E-2,-5.476087332E-1,-1.258602619E0,1.373133459E0
9.327366870E-1,-2.993392944E-2,-5.591256022E-1,-1.142545700E0,1.272371076E0
9.377119470E-1,3.231048584E-3,-5.762001276E-1,-9.985041618E-1,1.152834588E0
9.426872080E-1,4.098892212E-2,-5.984402895E-1,-8.839330673E-1,1.068245543E0
