"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.935758870E-1,3.289001584E-1,2.001364082E-1,2.067943066E-1,4.370283530E-1
1.960634910E-1,3.075948656E-1,1.692437679E-1,1.982721984E-1,4.031996019E-1
1.985511470E-1,2.841590643E-1,1.351553202E-1,1.886848211E-1,3.668995722E-1
2.010388030E-1,2.607232630E-1,1.021321490E-1,1.801627129E-1,3.329657623E-1
2.035264600E-1,2.362222075E-1,6.697845459E-2,1.705753356E-1,2.989698812E-1
2.060141160E-1,2.127864063E-1,3.502054140E-2,1.609879732E-1,2.691126540E-1
2.085017720E-1,1.893506050E-1,6.258423906E-3,1.524658650E-1,2.431844146E-1
2.109894280E-1,1.659148186E-1,-2.143843099E-2,1.439437568E-1,2.206969381E-1
2.134770850E-1,1.435442716E-1,-4.380896688E-2,1.354216337E-1,2.021464874E-1
2.159647410E-1,1.211737394E-1,-6.191844866E-2,1.279647946E-1,1.867938920E-1
2.184523970E-1,1.019989923E-1,-7.470161468E-2,1.215732098E-1,1.753971807E-1
2.209400530E-1,8.388951421E-2,-8.215846121E-2,1.141163707E-1,1.637376237E-1
2.234277100E-1,6.791055948E-2,-8.535424620E-2,1.087900475E-1,1.540534513E-1
2.259153660E-1,5.512739345E-2,-8.428898454E-2,1.045289934E-1,1.451549960E-1
2.284030220E-1,4.554001987E-2,-7.896266878E-2,1.013332009E-1,1.362989878E-1
2.308906780E-1,3.701791167E-2,-7.257108390E-2,9.813741595E-2,1.275454445E-1
2.333783350E-1,3.382211924E-2,-6.404897571E-2,9.707214683E-2,1.211165089E-1
2.358659910E-1,3.169159219E-2,-5.552686751E-2,9.813741595E-2,1.171261817E-1
2.383536470E-1,3.275685757E-2,-4.487423226E-2,9.813741595E-2,1.127726068E-1
2.408413030E-1,3.701791167E-2,-3.422159329E-2,9.813741595E-2,1.103285803E-1
2.433289600E-1,4.234423116E-2,-2.356895804E-2,9.813741595E-2,1.094508205E-1
2.458166160E-1,4.873581231E-2,-1.291632187E-2,9.920267761E-2,1.112797467E-1
2.483042720E-1,5.725792050E-2,-1.331579551E-4,9.813741595E-2,1.136197148E-1
2.507919280E-1,6.578002870E-2,1.158474199E-2,9.707214683E-2,1.178313206E-1
2.532795850E-1,7.643266767E-2,2.436790615E-2,9.600688517E-2,1.251122278E-1
2.557672410E-1,8.708529919E-2,3.715106845E-2,9.494162351E-2,1.340819268E-1
2.582548970E-1,9.773793817E-2,5.099949613E-2,9.387636185E-2,1.447978746E-1
2.607425530E-1,1.073253155E-1,6.484792382E-2,9.281109273E-2,1.560060111E-1
2.632302100E-1,1.169126853E-1,7.976161689E-2,9.281109273E-2,1.692465375E-1
2.657178660E-1,1.254348010E-1,9.574057162E-2,9.281109273E-2,1.830684170E-1
2.682055220E-1,1.328916401E-1,1.138500497E-1,9.600688517E-2,1.995979554E-1
2.706931780E-1,1.382179558E-1,1.319595277E-1,9.813741595E-2,2.148219558E-1
2.731808350E-1,1.414137483E-1,1.511342824E-1,1.023984700E-1,2.309217750E-1
2.756684910E-1,1.414137483E-1,1.703090221E-1,1.087900475E-1,2.466541823E-1
2.781561470E-1,1.382179558E-1,1.894837767E-1,1.151816323E-1,2.612950695E-1
2.806438030E-1,1.339569092E-1,2.075932473E-1,1.226384789E-1,2.758253185E-1
2.831314600E-1,1.265000552E-1,2.225069404E-1,1.290300637E-1,2.866362849E-1
2.856191160E-1,1.201084778E-1,2.363553643E-1,1.354216337E-1,2.977061027E-1
2.881067720E-1,1.137168929E-1,2.459427416E-1,1.407479644E-1,3.053348217E-1
2.905944280E-1,1.073253155E-1,2.523343265E-1,1.450090110E-1,3.101917938E-1
2.930820850E-1,1.041295230E-1,2.576606572E-1,1.492700726E-1,3.154576459E-1
2.955697410E-1,1.009337306E-1,2.597911656E-1,1.545963883E-1,3.187147800E-1
2.980573970E-1,1.009337306E-1,2.587259114E-1,1.588574350E-1,3.199412444E-1
3.005450530E-1,1.009337306E-1,2.555301189E-1,1.620532274E-1,3.189741497E-1
3.030327100E-1,1.030642539E-1,2.502037883E-1,1.652490199E-1,3.170668931E-1
3.055203660E-1,1.073253155E-1,2.427469492E-1,1.663142890E-1,3.132175720E-1
3.080080220E-1,1.105211005E-1,2.352901101E-1,1.652490199E-1,3.080317973E-1
3.104956780E-1,1.158474237E-1,2.267680019E-1,1.620532274E-1,3.018370434E-1
3.129832830E-1,1.222390011E-1,2.182458937E-1,1.567269117E-1,2.951897159E-1
3.154708870E-1,1.286305785E-1,2.086585164E-1,1.492700726E-1,2.869943497E-1
3.179584910E-1,1.371526867E-1,1.990711391E-1,1.386174262E-1,2.786664112E-1
3.204460950E-1,1.467400640E-1,1.905490309E-1,1.268995255E-1,2.719284265E-1
3.229336990E-1,1.552621722E-1,1.830921918E-1,1.141163707E-1,2.658037601E-1
